nuts_code,region_name_policy,year,program_name,hh_size,guaranteed_amount,max_amount,source_year,assumption_no_change,assumption_note,source_amount,notes_amount,schedule_included_main_baseline
ES70,Canary Islands,2018,Prestación Canaria de Inserción,1,476.88,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,1,476.88,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,2,476.88,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2018,Prestación Canaria de Inserción,2,476.88,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,2,476.88,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,3,539.63,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2018,Prestación Canaria de Inserción,3,539.63,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,3,539.63,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,4,589.83,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2018,Prestación Canaria de Inserción,4,589.83,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,4,589.83,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,5,621.2,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2018,Prestación Canaria de Inserción,5,621.2,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,5,621.2,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,6,646.3,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2018,Prestación Canaria de Inserción,6,646.3,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,6,646.3,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2017,Prestación Canaria de Inserción,7,665.13,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2018,Prestación Canaria de Inserción,7,665.13,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES70,Canary Islands,2019,Prestación Canaria de Inserción,7,665.13,665.13,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.,True
ES13,Cantabria,2017,Renta Social Básica,1,430.27,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2018,Renta Social Básica,1,430.27,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2019,Renta Social Básica,1,430.27,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2017,Renta Social Básica,2,430.27,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2018,Renta Social Básica,2,430.27,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2019,Renta Social Básica,2,430.27,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2017,Renta Social Básica,3,537.84,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2018,Renta Social Básica,3,537.84,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2019,Renta Social Básica,3,537.84,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2017,Renta Social Básica,4,591.63,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2018,Renta Social Básica,4,591.63,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2019,Renta Social Básica,4,591.63,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2017,Renta Social Básica,5,650.79,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2018,Renta Social Básica,5,650.79,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES13,Cantabria,2019,Renta Social Básica,5,650.79,672.3,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,True
ES42,Castilla-La Mancha,2017,Ingreso Mínimo de Solidaridad,1,420.42,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2018,Ingreso Mínimo de Solidaridad,1,420.42,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2019,Ingreso Mínimo de Solidaridad,1,420.42,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2017,Ingreso Mínimo de Solidaridad,2,470.87,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2018,Ingreso Mínimo de Solidaridad,2,470.87,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2019,Ingreso Mínimo de Solidaridad,2,470.87,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2017,Ingreso Mínimo de Solidaridad,3,521.32,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2018,Ingreso Mínimo de Solidaridad,3,521.32,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2019,Ingreso Mínimo de Solidaridad,3,521.32,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2017,Ingreso Mínimo de Solidaridad,4,571.77,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2018,Ingreso Mínimo de Solidaridad,4,571.77,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
ES42,Castilla-La Mancha,2019,Ingreso Mínimo de Solidaridad,4,571.77,723.12,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.,True
