region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,year,assumption_no_change,assumption_note
Asturias,Salario Social Básico,6.0,730.88,730.88,size_schedule,True,True,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,ES12,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,1.0,430.36,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,1.0,430.36,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,1.0,430.36,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,2.0,430.36,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,2.0,430.36,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,2.0,430.36,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,3.0,559.47,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,3.0,559.47,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,3.0,559.47,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,4.0,645.54,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,4.0,645.54,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,4.0,645.54,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,5.0,688.58,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,5.0,688.58,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,5.0,688.58,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,6.0,731.61,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,6.0,731.61,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,6.0,731.61,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,7.0,774.65,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2017,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,7.0,774.65,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2018,True,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,7.0,774.65,776.58,size_schedule,True,True,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,2019,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,1.0,476.88,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2017,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,1.0,476.88,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2018,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,1.0,476.88,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2019,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,2.0,476.88,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2017,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,2.0,476.88,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2018,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,2.0,476.88,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2019,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,3.0,539.63,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2017,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,3.0,539.63,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2018,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,3.0,539.63,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2019,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,4.0,589.83,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2017,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,4.0,589.83,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2018,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,4.0,589.83,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2019,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,5.0,621.2,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2017,True,2017 parameters carried forward to 2018-2019
