region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,assumption_no_change,assumption_note
Extremadura,Renta Básica Extremeña de Inserción,4,591.62,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
Extremadura,Renta Básica Extremeña de Inserción,5,645.41,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
Extremadura,Renta Básica Extremeña de Inserción,6,672.3,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
Extremadura,Renta Básica Extremeña de Inserción,7,699.19,726.08,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES43,2017,TRUE,2017 parameters carried forward to 2018-2019
Galicia,Renta de Inclusión Social (RISGA),1,403.38,726.08,size_schedule,TRUE,TRUE,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,ES11,2017,TRUE,2017 parameters carried forward to 2018-2019
Galicia,Renta de Inclusión Social (RISGA),2,478.68,726.08,size_schedule,TRUE,TRUE,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,ES11,2017,TRUE,2017 parameters carried forward to 2018-2019
Galicia,Renta de Inclusión Social (RISGA),3,543.22,726.08,size_schedule,TRUE,TRUE,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,ES11,2017,TRUE,2017 parameters carried forward to 2018-2019
Galicia,Renta de Inclusión Social (RISGA),4,597,726.08,size_schedule,TRUE,TRUE,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,ES11,2017,TRUE,2017 parameters carried forward to 2018-2019
Madrid,Renta Mínima de Inserción,1,400,707.7,size_schedule,TRUE,TRUE,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap,ES30,2017,TRUE,2017 parameters carried forward to 2018-2019
Madrid,Renta Mínima de Inserción,2,512.67,707.7,size_schedule,TRUE,TRUE,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap,ES30,2017,TRUE,2017 parameters carried forward to 2018-2019
Madrid,Renta Mínima de Inserción,3,587.78,707.7,size_schedule,TRUE,TRUE,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap,ES30,2017,TRUE,2017 parameters carried forward to 2018-2019
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,1,458.64,764.4,size_schedule,TRUE,TRUE,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,ES64,2017,TRUE,2017 parameters carried forward to 2018-2019
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2,535.08,764.4,size_schedule,TRUE,TRUE,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,ES64,2017,TRUE,2017 parameters carried forward to 2018-2019
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,3,611.52,764.4,size_schedule,TRUE,TRUE,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,ES64,2017,TRUE,2017 parameters carried forward to 2018-2019
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,4,687.96,764.4,size_schedule,TRUE,TRUE,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,ES64,2017,TRUE,2017 parameters carried forward to 2018-2019
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,5,764.4,764.4,size_schedule,TRUE,TRUE,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017,ES64,2017,TRUE,2017 parameters carried forward to 2018-2019
Murcia,Renta Básica de Inserción,NA,NA,806.76,formula,FALSE,FALSE,Formula-based schedule; needs separate implementation,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 8,Formula-based schedule; do not use direct hh_size lookup,ES62,2017,TRUE,2017 parameters carried forward to 2018-2019
Navarra,Renta Garantizada,1,600,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
Navarra,Renta Garantizada,2,600,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
Navarra,Renta Garantizada,3,810,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
Navarra,Renta Garantizada,4,960,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
Navarra,Renta Garantizada,5,1050,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
Navarra,Renta Garantizada,6,1140,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
